,input.z_score_threshold,input.selector_n_params,input.model,input.n_splits,input.num_outliers,input.selector,output.best_params_,output.regressor__max_depth,output.regressor__min_samples_split,output.regressor__min_samples_leaf,output.explained_variance_score,output.max_error,output.mean_absolute_error,output.mean_squared_error,output.median_absolute_error,output.r2_score
0,1.0,5,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",3,2,2,-0.24098425089594766,10319.75314801269,1448.3890134860487,6967410.525490926,358.0216005510754,-0.2451748158075997
1,1.0,5,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
2,1.0,5,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
3,1.0,5,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
4,1.0,5,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",3,2,2,-0.24098425089594766,10319.75314801269,1448.3890134860487,6967410.525490926,358.0216005510754,-0.2451748158075997
5,1.0,5,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 2}",3,2,3,-0.2667517447471297,10380.838308135166,1307.894788952861,7165681.922870396,296.93644042860103,-0.2806087190932831
6,1.0,5,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
7,1.0,5,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
8,1.0,5,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",3,2,2,-0.10009003300615849,10319.75314801269,1344.7031432384758,6159513.152391585,358.4630261129803,-0.1007921274243091
9,1.0,5,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
10,1.0,5,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
11,1.0,5,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
12,1.0,6,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",3,2,2,-0.24098425089594766,10319.75314801269,1448.3890134860487,6967410.525490926,358.0216005510754,-0.2451748158075997
13,1.0,6,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 2}",3,2,3,-0.2667517447471297,10380.838308135166,1307.894788952861,7165681.922870396,296.93644042860103,-0.2806087190932831
14,1.0,6,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
15,1.0,6,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
16,1.0,6,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",3,2,2,-0.10009003300615849,10319.75314801269,1344.7031432384758,6159513.152391585,358.4630261129803,-0.1007921274243091
17,1.0,6,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
18,1.0,6,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
19,1.0,6,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
20,1.0,6,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",3,2,2,-0.24098425089594766,10319.75314801269,1448.3890134860487,6967410.525490926,358.0216005510754,-0.2451748158075997
21,1.0,6,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 2}",3,2,3,-0.2667517447471297,10380.838308135166,1307.894788952861,7165681.922870396,296.93644042860103,-0.2806087190932831
22,1.0,6,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
23,1.0,6,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
24,1.0,7,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",3,10,2,-0.2919592960540984,10319.75314801269,1508.7323959677046,7280590.779497035,358.4630261129803,-0.30114455717276156
25,1.0,7,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
26,1.0,7,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
27,1.0,7,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
28,1.0,7,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",3,10,2,-0.42755052951509853,10319.75314801269,1612.4182662152775,8088488.152596376,358.0216005510754,-0.44552724555605216
29,1.0,7,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 2}",3,2,3,-0.2667517447471297,10380.838308135166,1307.894788952861,7165681.922870396,296.93644042860103,-0.2806087190932831
30,1.0,7,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
31,1.0,7,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
32,1.0,7,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",3,10,2,-0.42755052951509853,10319.75314801269,1612.4182662152775,8088488.152596376,358.0216005510754,-0.44552724555605216
33,1.0,7,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 2}",3,2,3,-0.2667517447471297,10380.838308135166,1307.894788952861,7165681.922870396,296.93644042860103,-0.2806087190932831
34,1.0,7,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
35,1.0,7,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
36,1.0,8,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
37,1.0,8,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
38,1.0,8,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
39,1.0,8,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
40,1.0,8,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",4,4,1,-1.4298623209050962,10521.61879992485,1736.1412986328255,13934366.781409258,295.6806224192245,-1.4902684472168768
41,1.0,8,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 5, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",5,10,1,-1.6458638682051916,10521.61879992485,2130.0233764598674,15774352.362300683,271.0734080478644,-1.8190998973507395
42,1.0,8,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
43,1.0,8,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
44,1.0,8,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",4,4,1,-1.4298623209050962,10521.61879992485,1736.1412986328255,13934366.781409258,295.6806224192245,-1.4902684472168768
45,1.0,8,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
46,1.0,8,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
47,1.0,8,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
48,1.0,9,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",4,4,1,-1.4298623209050962,10521.61879992485,1736.1412986328255,13934366.781409258,295.6806224192245,-1.4902684472168768
49,1.0,9,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
50,1.0,9,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
51,1.0,9,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
52,1.0,9,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
53,1.0,9,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
54,1.0,9,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
55,1.0,9,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
56,1.0,9,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.08972622061531199,10380.838308135166,1245.3650484438604,6100983.025505178,296.93644042860103,-0.09033196583366676
57,1.0,9,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",4,10,2,-0.4365015633137781,10380.838308135166,1564.3337149792112,8097482.036292376,296.93644042860103,-0.4471345797921491
58,1.0,9,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
59,1.0,9,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
60,1.0,10,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
61,1.0,10,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 7, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",7,10,2,-0.31624912669465655,10532.475300470987,1383.3863454949715,7365417.799479189,316.2127561166689,-0.3163043455324901
62,1.0,10,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
63,1.0,10,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
64,1.0,10,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 3}",4,3,2,-0.08972622061531199,10380.838308135166,1245.3650484438604,6100983.025505178,296.93644042860103,-0.09033196583366676
65,1.0,10,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 7, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",7,10,2,-0.4782733121129774,10532.475300470987,1581.035219341487,8318042.19935265,316.7691890790865,-0.48655180078239924
66,1.0,10,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
67,1.0,10,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
68,1.0,10,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 3}",4,3,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
69,1.0,10,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",3,10,1,-1.574451757187119,10521.61879992485,2066.0136295383713,15285546.6591856,358.0216005510754,-1.7317434039856314
70,1.0,10,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
71,1.0,10,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
72,1.0,11,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5}",4,5,2,-0.08972622061531199,10380.838308135166,1245.3650484438604,6100983.025505178,296.93644042860103,-0.09033196583366676
73,1.0,11,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
74,1.0,11,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
75,1.0,11,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
76,1.0,11,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.08972622061531199,10380.838308135166,1245.3650484438604,6100983.025505178,296.93644042860103,-0.09033196583366676
77,1.0,11,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 7, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",7,10,2,-0.31624912669465655,10532.475300470987,1383.3863454949715,7365417.799479189,316.2127561166689,-0.3163043455324901
78,1.0,11,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
79,1.0,11,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
80,1.0,11,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
81,1.0,11,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 7, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10}",7,10,2,-0.31624912669465655,10532.475300470987,1383.3863454949715,7365417.799479189,316.2127561166689,-0.3163043455324901
82,1.0,11,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",3,2,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
83,1.0,11,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
84,1.0,12,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5}",4,5,2,-0.08972622061531199,10380.838308135166,1245.3650484438604,6100983.025505178,296.93644042860103,-0.09033196583366676
85,1.0,12,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
86,1.0,12,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
87,1.0,12,DecisionTreeRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",3,3,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
88,1.0,12,RandomForestRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5}",4,5,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
89,1.0,12,RandomForestRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
90,1.0,12,RandomForestRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
91,1.0,12,RandomForestRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
92,1.0,12,GradientBoostingRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5}",4,5,2,-0.24564147944162995,10380.838308135166,1400.3044622499822,6976404.409186928,296.93644042860103,-0.24678215004369686
93,1.0,12,GradientBoostingRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
94,1.0,12,GradientBoostingRegressor,4,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3}",4,3,1,-1.4298623209050962,10521.61879992485,1736.1412986328255,13934366.781409258,295.6806224192245,-1.4902684472168768
95,1.0,12,GradientBoostingRegressor,5,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
96,1.0,13,DecisionTreeRegressor,2,84,SelectKBest,"{'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}",4,2,2,-0.08972622061531199,10380.838308135166,1245.3650484438604,6100983.025505178,296.93644042860103,-0.09033196583366676
97,1.0,13,DecisionTreeRegressor,3,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",3,5,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
98,1.0,13,DecisionTreeRegressor,4,84,SelectKBest,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 4}",3,4,1,-1.4155166628177231,10521.61879992485,1878.913817611361,14080170.978429383,358.0216005510754,-1.5163257196431652
